Restaurant ID,Restaurant First Active Date,GMV (Gross Merchandise Value) (EUR),Total Sales Before Discount (EUR),Commission (EUR),Bolt Investments to User Discounts (EUR),Restaurant Investments to User Discount (EUR),Net Rate (%),Requested Orders,Total Number of Delivered Orders,Monthly Active Users,New Users,Menu Conversion (%),Availability Rate (%),Menu Photo Coverage (%),restaurant Average Rates,Restaurant Total Rates,Restaurant Avergae Cooking Time
57961,44894,1419.481033,1336.81333,247.322311,48.26100287,0,0.02165388,117,113,103,8,0.151832461,1,0.972129583,3.888888836,35,8
57952,44894,1471.088392,1379.942774,255.2978434,9.97535776,0,0.03941717,117,113,86,1,0.216014892,1,0.999384642,2.666666746,16,6.964601994
57947,44894,2831.485163,2664.683451,492.9581835,90.0775274,0,-0.00659345,232,226,183,11,0.157967031,1,0.884664953,3.653846264,95,24.27876091
57969,44894,8467.080623,7953.119309,1471.342872,124.1475164,0,0.02733927,667,655,504,32,0.207874015,1,0.972129583,3.867924452,205,9.639694214
58415,44894,2412.342133,2253.640865,416.9281978,51.60451565,0,0.01768721,203,189,157,13,0.156467855,1,0.999394655,3.153846264,41,10.48148155
57953,44894,2781.668119,2599.780807,480.9529667,54.22186864,0,0.01130771,247,236,176,11,0.199346408,1,0.972129583,3.599999905,36,10.58474541
57956,44894,1975.869451,1846.978289,341.6991433,35.31488723,0,0.03039489,149,144,113,6,0.209039554,1,0.997426808,3.6875,59,20.72916603
57943,44894,6597.981416,6252.910707,1156.795087,124.6006883,0,0.03273582,543,532,404,24,0.224780247,1,0.972129583,3.815789461,145,11.72368431
58409,44894,914.181811,866.140881,160.2328658,12.44309529,0,0.04654472,65,64,49,4,0.184210524,1,0.884664953,2.666666746,16,10.375
57949,44894,1728.388759,1643.905827,304.135356,16.89113527,0,0.03381162,132,129,94,5,0.231173381,1,0.884664953,3.5,49,24.59689903
57057,44889,1147.906848,1055.929374,255.4801417,-1.58381092,228.0289,0.12918555,68,68,53,0,0.06634146,0.996516824,0.962962985,3.555555582,32,15.38235283
58015,44888,985.477442,958.333222,143.7499839,26.96934897,0,0.11850158,66,58,54,3,0.036131185,0.943926752,0.107142858,,0,25.32758713
57977,44888,145.244611,136.189968,34.05276137,9.48405479,0,0.06371448,10,9,8,1,0.138461545,0.605642438,0,5,5,16.44444466
57974,44888,11.873621,10.392337,2.59755363,0,0,0.0536193,1,1,1,0,0.02631579,0.547806323,0.137931034,,0,17
57520,44888,0,0,0,0,0,,0,0,0,0,0,0.801913798,1,,0,
55411,44887,8.022381,7.383206,1.62430535,0.52526238,0,-0.04575335,1,1,1,0,0.005076142,0.985350847,1,4,4,7
56533,44886,19138.50853,17950.3594,2399.064106,108.9953462,6978.3181,0.03974415,989,979,736,25,0.251213908,0.959853888,0.362068951,4.04494381,360,14.97752762
57758,44883,0,0,0,0,0,,0,0,0,0,0,0.72019285,0.869565189,,0,
57668,44883,828.869996,764.020722,152.8408564,23.95446695,0,0.02615789,70,67,56,3,0.267441869,0.898792982,0.750663698,3.625,29,8.761194229
49914,44882,2549.992037,2338.170632,327.6836598,-1.46590995,1.4668,0.05086592,123,123,102,2,0.073405534,0.999971032,1,3.875,62,9.951219559
57532,44882,1138.780837,1059.700718,158.4237253,0.53131686,0,0.03216091,56,56,51,0,0.024003429,0.999399602,1,3.777777672,34,16.1785717
50446,44882,2243.050918,2031.850168,304.7701766,-1.47466183,0,0.05443673,107,104,79,2,0.053998981,0.994735181,1,4.071428776,57,13.78846169
57528,44882,1930.299719,1785.294315,263.3287156,21.13204011,0,0.06217432,79,79,71,3,0.050063372,0.999971926,1,4.333333492,26,11.31645584
57526,44880,1839.900435,1718.030799,208.5505527,0,0,0.07913564,79,78,70,1,0.027119808,0.996719658,1,4.333333492,13,9.166666985
49920,44880,2958.263786,2726.944905,393.3417078,-1.46585408,0,0.0554588,145,145,121,8,0.059602648,0.996719658,1,4.642857075,65,8.475862503
57583,44880,2021.045809,1873.720671,325.2825233,11.5746884,552.3127,0.06671617,120,110,101,2,0.162758619,0.899707794,0.857142866,3.125,50,21.4272728
57403,44880,2140.138208,2017.15561,232.2152417,0,0,0.07357138,103,102,91,1,0.033693165,0.996718049,0.956482291,4.199999809,21,11.35294151
57298,44879,1459.498378,1367.221033,369.1496785,63.06107638,0,0.09430877,83,83,70,2,0.217277482,0.965578198,0.037037037,4.333333492,26,24.48192787
57299,44877,1363.002226,1274.38882,343.1266213,64.3449485,0,0.10271557,75,75,50,3,0.274809152,0.975074112,0.034965035,4.142857075,29,25.29333305
56867,44873,60.18125,58.235188,17.47055666,10.68343393,0,0.06258484,2,2,2,1,0.012578616,0.786495686,0.052631579,,0,63
51082,44872,2235.205058,2092.310714,460.9541683,43.34118457,372.245,0.09453863,107,106,88,1,0.105211407,0.989118576,0.990706325,3.428571463,24,29.20754623
52702,44861,8244.347852,7848.734897,1677.866041,1099.839782,0,-0.0067764,483,478,333,9,0.311646074,0.988265693,0.70588237,4.354166508,209,15.10041809
